Product,Price
HP حقيبة ظهر SMB بحجم 15.6 بوصة مع أمان مزدوج - سوداء,"1,799.00 جنيه"
HP بروبوك 640 جي8 - 15.6 بوصة FHD - إنتل كور i7-1165 - 8 جيجابايت رام 512 جيجابايت SSD - إنتل UHD جرافيكس - ويندوز 10 برو - فضي,"39,000.00 جنيه"
HP ماوس ألعاب سلكي USB بأربعة أزرار، مستشعر Sunplus 168A، M100 اسود,99.00 جنيه
"HP Laptop HP Envy x360 Convert 15-es2501dx 2-in-1 Core i7-1260P 12-Cores, 16GB 512GB SSD, Intel Iris Xe 15.6"" Multi Touch IPS, FingerPrint, Backlit, Windows 11","59,999.00 جنيه"
HP WIRELESS MOUSE HP- W10,220.00 جنيه
HP M135a Laserjet MFP Printer,"8,500.00 جنيه"
HP Printer HP Smart Tank 581 All-in-One Printer (4A8D4A),"6,399.00 جنيه"
HP LaserJet MFP 137fnw Multifunctional Laser Printer,"11,080.00 جنيه"
HP ماوس لاسلكي S4000,210.00 جنيه
HP Laptop I3-1315U -4Gb 256Gb Ssd -Uhd-15.6'' Fhd- Dos- Silver-15-Fd0033Ne,"20,100.00 جنيه"
HP VICTUS 16T-R100 GAMING ( Core i7-14700HX-5.5GHz-32G Ram DDR5-5600-1TB SSD NVMe-VGA Nvidia 8GB RTX4060-16.1″ FHD IPS 144 Hz-Win 11 Home-Mica Silver ),"79,990.00 جنيه"
HP حقيبة ظهر HP بحجم 15.6 بوصة - K0B39AA,899.00 جنيه
HP 103A Black Original Neverstop Laser Toner Reload Kit,850.00 جنيه
HP GT53 XL Ink bottle pullout 135ml,649.00 جنيه
HP 4ZB82A MFP 135A Laser Multifunction Printer,"9,500.00 جنيه"
HP AUX 3.5mm Cable 1.5M – Black,99.00 جنيه
HP Laptop I3-1315U -4Gb- 256Gb Ssd -Uhd-15.6'' Fhd -Moonlight Blue-15-Fd0031Ne,"19,848.00 جنيه"
HP PRINTER-HP-LASERJET-M141W,"9,900.00 جنيه"
"HP ENVY X360 14-ES1023DX 2-IN-1 (Intel CORE 7-150U-5.4GHz-16GB-512GB SSD-14″ FHD IPS TOUCH-CAMERA, FPR, BT- WIFI, WIN 11 HOME- INTEL IRIS XE GRAPHICS-SILVER )","47,890.00 جنيه"
HP  HP pro aux 3.5 mm cable- 3m -white,169.00 جنيه
HP 305 Black & Tri-Colour Ink Cartridge Multipack,"1,460.00 جنيه"
HP GT53 XL - Black + GT52 CMY - Set Of 4 Ink Bottles For GT SERIES,"2,144.00 جنيه"
HP خرطوشة حبر 123 اسود + الوان,"1,588.00 جنيه"
HP 515 Wireless All-in-One Smart Tank Printer,"10,500.00 جنيه"
HP VICTUS 16T-R100 GAMING ( Core i7-14700HX-5.5GHz-16G Ram DDR5-5600-512GB SSD NVMe- VGA Nvidia 8GB RTX4060-16.1″ FHD IPS 144 Hz-Win 11 Home-Mica Silver ),"79,800.00 جنيه"
HP اتش بي 4103fdn طابعة ليزر جيت برو متعددة الوظائف,"25,899.00 جنيه"
HP Envy Urban 15.6-inch Sleeve Bag - Black,"1,999.00 جنيه"
HP VICTUS 16T-R100 GAMING ( Core i7-14700HX-5.5GHz-16G Ram DDR5-5600-1TB SSD NVMe-VGA Nvidia 8GB RTX4060-16.1″ FHD IPS 144 Hz-Win 11 Home-Mica Silver ),"73,700.00 جنيه"
HP PRINTER Hp Smart Tank 720 All-In-One  + Extra 3 Free BlackXL Ink Bottles,"12,199.00 جنيه"
"HP Envy X360 15T-FE000 2-in-1 ( Core i7-1355U, 16GB RAM-1TB SSD-VGA Nvidia 4G RTX 3050 4GB- 15.6 FHD Touch + Pen- KB Backlit-English, Win11- Silver )","80,500.00 جنيه"
HP HP Original Toner Multipack 207A (1 x W2210A W2211A W2212A W2213A) for HP Color Laserjet Pro M255 M282 M283)black-cyan-magenta-yellow,"17,177.00 جنيه"
HP Printer HP LaserJet MFP M236dw Printer (9YF95A),"10,444.00 جنيه"
"HP Printer HP Laserjet M111W Wireless , White (7Md68A)","6,195.00 جنيه"
HP PRINTER-HP-DJ 2320-7WN42B,"5,000.00 جنيه"
"HP Laptop HP Probook 470 G10-8A6D0EA, Intel Core-i5-1335U, 16GB RAM, 512GB SSD, Intel Iris Xe Graphics, 17.3 Inch FHD-300nits-IPS, Island Style KB, Asteroid Silver","33,676.00 جنيه"
HP HP Probook 450 G9 - core  I5 -1235U - 15.6 HD - 8GB - 512GB SSD - MX570 2GB - DOS - Silver,"49,599.00 جنيه"
HP PRINTER-HP-OFFICEJET-8013,"6,600.00 جنيه"
HP PRINTER-HP-LJ PRO 4003DN 2Z609A,"11,424.00 جنيه"
HP أتش بى ماوس لاسلكى X200 أسود,689.00 جنيه
HP Printer HP Smart Tank 582 All-in-One,"7,030.00 جنيه"
HP حقيبة ظهر SMB بحجم 15.6 بوصة مع أمان مزدوج - سوداء,"1,799.00 جنيه"
HP بروبوك 640 جي8 - 15.6 بوصة FHD - إنتل كور i7-1165 - 8 جيجابايت رام 512 جيجابايت SSD - إنتل UHD جرافيكس - ويندوز 10 برو - فضي,"39,000.00 جنيه"
HP ماوس ألعاب سلكي USB بأربعة أزرار، مستشعر Sunplus 168A، M100 اسود,99.00 جنيه
"HP Laptop HP Envy x360 Convert 15-es2501dx 2-in-1 Core i7-1260P 12-Cores, 16GB 512GB SSD, Intel Iris Xe 15.6"" Multi Touch IPS, FingerPrint, Backlit, Windows 11","59,999.00 جنيه"
HP WIRELESS MOUSE HP- W10,220.00 جنيه
HP M135a Laserjet MFP Printer,"8,500.00 جنيه"
HP Printer HP Smart Tank 581 All-in-One Printer (4A8D4A),"6,399.00 جنيه"
HP LaserJet MFP 137fnw Multifunctional Laser Printer,"11,080.00 جنيه"
HP ماوس لاسلكي S4000,210.00 جنيه
HP Laptop I3-1315U -4Gb 256Gb Ssd -Uhd-15.6'' Fhd- Dos- Silver-15-Fd0033Ne,"20,100.00 جنيه"
HP VICTUS 16T-R100 GAMING ( Core i7-14700HX-5.5GHz-32G Ram DDR5-5600-1TB SSD NVMe-VGA Nvidia 8GB RTX4060-16.1″ FHD IPS 144 Hz-Win 11 Home-Mica Silver ),"79,990.00 جنيه"
HP حقيبة ظهر HP بحجم 15.6 بوصة - K0B39AA,899.00 جنيه
HP 103A Black Original Neverstop Laser Toner Reload Kit,850.00 جنيه
HP GT53 XL Ink bottle pullout 135ml,649.00 جنيه
HP 4ZB82A MFP 135A Laser Multifunction Printer,"9,500.00 جنيه"
HP AUX 3.5mm Cable 1.5M – Black,99.00 جنيه
HP Laptop I3-1315U -4Gb- 256Gb Ssd -Uhd-15.6'' Fhd -Moonlight Blue-15-Fd0031Ne,"19,848.00 جنيه"
HP PRINTER-HP-LASERJET-M141W,"9,900.00 جنيه"
"HP ENVY X360 14-ES1023DX 2-IN-1 (Intel CORE 7-150U-5.4GHz-16GB-512GB SSD-14″ FHD IPS TOUCH-CAMERA, FPR, BT- WIFI, WIN 11 HOME- INTEL IRIS XE GRAPHICS-SILVER )","47,890.00 جنيه"
HP  HP pro aux 3.5 mm cable- 3m -white,169.00 جنيه
HP 305 Black & Tri-Colour Ink Cartridge Multipack,"1,460.00 جنيه"
